playerID,playerName,team,position,opponent,week_num,rec_tgt_roll,rush_att_roll,off_snp_roll,ease_roll
11589,Trey Benson,ARI,RB,CAR,2,3.5,5.5,23.0,1.0
11589,Trey Benson,ARI,RB,SF,3,3.7,7.0,28.7,1.0
11589,Trey Benson,ARI,RB,SEA,4,5.0,7.0,33.7,1.0
11593,Brevyn Spann-Ford,DAL,TE,NYG,2,1.0,,11.0,1.0
11593,Brevyn Spann-Ford,DAL,TE,CAR,6,1.0,,10.5,1.1
11593,Brevyn Spann-Ford,DAL,TE,DEN,8,1.0,,14.7,1.1
11596,Ben Sinnott,WAS,TE,GB,2,1.0,,3.0,1.2
11596,Ben Sinnott,WAS,TE,KC,8,1.0,,7.0,1.1
11597,Theo Johnson,NYG,TE,WAS,1,3.0,,53.0,1.2
11597,Theo Johnson,NYG,TE,DAL,2,4.0,,54.5,1.1
11597,Theo Johnson,NYG,TE,KC,3,3.3,,55.3,1.1
11597,Theo Johnson,NYG,TE,LAC,4,4.0,,55.3,1.0
11597,Theo Johnson,NYG,TE,NO,5,4.7,,56.7,1.0
11597,Theo Johnson,NYG,TE,PHI,6,5.3,,58.3,0.9
11597,Theo Johnson,NYG,TE,DEN,7,6.0,,63.3,1.0
11597,Theo Johnson,NYG,TE,PHI,8,5.0,,60.3,0.9
11597,Theo Johnson,NYG,TE,SF,9,5.7,,56.0,1.0
11599,Cade Stover,HOU,TE,LAR,1,4.0,,36.0,1.0
11600,Ja'Tavion Sanders,CAR,TE,JAX,1,3.0,,39.0,1.1
11600,Ja'Tavion Sanders,CAR,TE,ARI,2,6.0,,47.5,1.1
11600,Ja'Tavion Sanders,CAR,TE,ATL,3,4.7,,43.0,1.0
11600,Ja'Tavion Sanders,CAR,TE,BUF,8,4.7,,41.0,0.8
11600,Ja'Tavion Sanders,CAR,TE,GB,9,2.0,,32.0,0.8
11603,AJ Barner,SEA,TE,SF,1,2.0,1.0,44.0,1.1
11603,AJ Barner,SEA,TE,PIT,2,2.5,1.0,51.0,1.2
11603,AJ Barner,SEA,TE,NO,3,2.0,1.0,44.3,1.2
11603,AJ Barner,SEA,TE,ARI,4,2.3,1.0,48.7,1.2
11603,AJ Barner,SEA,TE,TB,5,3.7,,45.7,1.1
11603,AJ Barner,SEA,TE,JAX,6,4.3,,49.7,1.1
11603,AJ Barner,SEA,TE,HOU,7,4.3,1.0,51.3,1.0
11603,AJ Barner,SEA,TE,WAS,9,3.3,1.0,49.3,1.0
11604,Brock Bowers,LV,TE,NE,1,8.0,,32.0,1.3
11604,Brock Bowers,LV,TE,LAC,2,8.0,,43.0,1.1
11604,Brock Bowers,LV,TE,WAS,3,7.0,,47.0,1.1
11604,Brock Bowers,LV,TE,CHI,4,6.3,,49.7,1.1
11604,Brock Bowers,LV,TE,JAX,9,8.0,1.0,49.0,1.1
11608,Isaiah Williams,NYJ,WR,MIA,4,,,1.0,0.9
11608,Isaiah Williams,NYJ,WR,CIN,8,4.0,1.0,15.5,1.0
11610,Malik Washington,MIA,WR,IND,1,5.0,1.0,28.0,1.2
