playerID,playerName,team,position,opponent,last_week,rec_tgt_base,rush_att_base,off_snp_base,ease_base
5086,Marquez Valdes-Scantling,PIT,WR,CLE,6,2.3,,35.0,1.2
5096,Ray-Ray McCloud,NYG,WR,SF,9,2.7,,40.3,0.9
5113,Cedrick Wilson,MIA,WR,BAL,9,1.0,,18.0,1.0
5121,Braxton Berrios,HOU,WR,SF,8,4.0,,29.5,1.0
5127,Kyle Allen,DET,QB,CLE,4,,2.0,4.0,1.0
5133,Tyler Conklin,LAC,TE,WAS,5,2.0,1.0,20.0,1.0
5154,Trent Sherfield,DEN,WR,PHI,5,1.3,,21.3,1.0
5185,Allen Lazard,NYJ,WR,CIN,8,2.3,,39.0,1.1
5347,Nyheim Hines,,RB,,8,,2.0,,
5374,Justin Watson,HOU,WR,TB,2,2.0,,27.5,1.1
5409,Tanner Hudson,CIN,TE,CHI,9,3.0,,12.7,1.2
5773,KhaDarel Hodge,ATL,WR,MIA,8,8.0,,33.0,0.9
5844,T.J. Hockenson,MIN,TE,DET,9,5.0,,48.3,0.9
5846,DK Metcalf,PIT,WR,IND,9,5.3,,55.3,1.1
5848,Marquise Brown,KC,WR,BUF,9,4.0,,28.7,1.1
5849,Kyler Murray,ARI,QB,TEN,5,,5.0,66.0,1.0
5850,Josh Jacobs,GB,RB,CAR,9,3.0,14.3,34.3,0.9
5854,Drew Lock,SEA,QB,NO,3,,1.0,18.0,1.0
5857,Noah Fant,CIN,TE,CHI,9,3.3,,37.0,1.2
5859,A.J. Brown,PHI,WR,MIN,7,7.7,,52.7,0.9
5870,Daniel Jones,IND,QB,PIT,9,,3.0,61.7,1.0
5872,Deebo Samuel,WAS,WR,SEA,9,5.7,1.0,43.3,1.0
5892,David Montgomery,DET,RB,MIN,9,3.0,9.3,23.7,0.9
5906,Dawson Knox,BUF,TE,KC,9,1.3,,35.0,0.9
5927,Terry McLaurin,WAS,WR,KC,8,5.7,,41.0,1.0
5938,Lil'Jordan Humphrey,NYG,WR,PHI,6,8.0,,53.0,0.9
5947,Jakobi Meyers,JAX,WR,LV,9,5.3,,57.3,1.0
5955,Hunter Renfrow,CAR,WR,DAL,6,2.3,,27.3,1.2
5967,Tony Pollard,TEN,RB,LAC,9,3.3,9.0,30.7,1.0
5970,Greg Dortch,ARI,WR,DAL,9,2.5,1.0,17.7,1.2
5973,Josh Oliver,MIN,TE,PHI,7,1.7,,27.3,1.1
5985,Foster Moreau,NO,TE,NE,6,1.0,,20.0,1.3
5995,Justice Hill,BAL,RB,MIA,9,4.0,2.7,21.7,1.0
6001,Drew Sample,CIN,TE,GB,6,2.0,,29.0,1.1
6011,Gardner Minshew,KC,QB,LV,7,,2.5,11.0,1.0
6039,Ty Johnson,BUF,RB,KC,9,2.0,2.3,19.0,0.9
6111,Jake Browning,CIN,QB,DET,5,,2.7,54.3,1.0
6130,Devin Singletary,NYG,RB,SF,9,1.5,4.0,14.3,1.0
6136,Jarrett Stidham,DEN,QB,DAL,8,,1.0,4.0,1.4
6149,Darius Slayton,NYG,WR,SF,9,6.0,,48.0,1.0
6151,Miles Sanders,DAL,RB,GB,4,2.3,5.3,18.0,1.1
6154,David Sills,ATL,WR,MIA,8,2.5,,35.0,0.9
6271,Olamide Zaccheaus,CHI,WR,CIN,9,6.0,1.0,41.7,1.1
6290,Scotty Miller,PIT,WR,CIN,7,1.0,,8.0,1.1
6323,Andrew Beck,NYJ,RB,CIN,8,1.3,,7.0,1.2
6386,Alex Bachman,LV,WR,IND,5,1.0,,8.0,1.2
6427,Ashton Dulin,IND,WR,TEN,8,2.3,1.0,24.0,1.0
6659,Craig Reynolds,DET,RB,CHI,2,,3.0,3.0,1.2
6699,Gunner Olszewski,NYG,WR,SF,9,1.0,,4.0,1.0
6768,Tua Tagovailoa,MIA,QB,BAL,9,,2.0,57.3,1.0
6770,Joe Burrow,CIN,QB,JAX,2,,2.0,36.5,1.2
6783,Jerry Jeudy,CLE,WR,MIA,7,7.3,,58.3,1.1
6786,CeeDee Lamb,DAL,WR,ARI,9,10.0,1.0,54.7,0.9
6790,D'Andre Swift,CHI,RB,BAL,8,2.0,14.7,34.7,1.1
6794,Justin Jefferson,MIN,WR,DET,9,10.0,,56.7,0.9
6797,Justin Herbert,LAC,QB,TEN,9,,7.3,71.3,1.0
6801,Tee Higgins,CIN,WR,CHI,9,7.0,,58.0,1.2
6804,Jordan Love,GB,QB,CAR,9,,2.0,61.7,1.0
6806,J.K. Dobbins,DEN,RB,HOU,9,1.3,14.7,34.0,1.2
6813,Jonathan Taylor,IND,RB,PIT,9,2.3,14.0,51.3,1.1
6819,Michael Pittman,IND,WR,PIT,9,10.0,,54.3,1.1
6820,Clyde Edwards-Helaire,KC,RB,BUF,9,,2.0,2.0,1.1
6826,Cole Kmet,CHI,TE,CIN,9,1.7,,27.3,1.3
6828,A.J. Dillon,PHI,RB,NYG,6,2.0,2.0,8.3,1.1
6843,Albert Okwuegbunam,LV,TE,IND,5,6.0,,31.0,1.3
6847,Devin Duvernay,CHI,WR,BAL,8,3.0,,10.0,1.2
6850,Harrison Bryant,HOU,TE,DEN,9,2.0,,19.5,1.0
6853,Van Jefferson,TEN,WR,LAC,9,5.3,,46.7,1.1
6865,Colby Parkinson,LAR,TE,NO,9,2.3,,33.0,1.2
6869,Adam Trautman,DEN,TE,HOU,9,2.0,,39.7,1.1
6904,Jalen Hurts,PHI,QB,NYG,8,,5.0,54.0,1.1
6938,Cam Akers,MIN,RB,CLE,5,1.0,5.0,4.0,1.1
6945,Antonio Gibson,NE,RB,BUF,5,1.0,6.3,12.3,1.0
6960,Tyler Johnson,NYJ,WR,CIN,8,3.7,,39.7,1.0
7002,Juwan Johnson,NO,TE,LAR,9,6.3,,41.3,1.1
7021,Rico Dowdle,CAR,RB,GB,9,2.5,16.7,32.3,1.0
7039,Cody White,SEA,WR,WAS,9,2.0,,36.0,1.0
7049,Jauan Jennings,SF,WR,NYG,9,6.3,,50.0,0.9
7075,Charlie Woerner,ATL,TE,CAR,3,1.0,,14.0,1.2
7083,Tyler Huntley,BAL,QB,CHI,8,,5.5,43.5,1.1
7090,Darnell Mooney,ATL,WR,NE,9,3.7,,51.7,1.0
7496,Nick Westbrook-Ikhine,MIA,WR,BAL,9,3.7,,44.0,1.1
7523,Trevor Lawrence,JAX,QB,LV,9,,4.7,77.7,1.0
7525,DeVonta Smith,PHI,WR,NYG,8,8.3,,50.7,1.0
7526,Jaylen Waddle,MIA,WR,BAL,9,6.3,,49.7,1.1
7527,Mac Jones,SF,QB,NYG,9,,3.7,60.0,0.9
7528,Najee Harris,LAC,RB,DEN,3,1.5,5.0,14.3,1.0
7531,Feleipe Franks,ATL,TE,BUF,6,,1.0,3.0,0.6
7535,Hunter Long,JAX,TE,LV,9,3.0,,53.3,1.1
7537,Jaret Patterson,LAC,RB,TEN,9,,10.0,16.5,1.1
7538,Zach Wilson,MIA,QB,IND,1,,1.0,9.0,1.1
7543,Travis Etienne,JAX,RB,LV,9,4.3,14.0,45.0,0.9
7547,Amon-Ra St. Brown,DET,WR,MIN,9,11.0,1.0,57.0,1.0
7553,Kyle Pitts,ATL,TE,NE,9,8.7,,50.7,1.3
7562,Tutu Atwell,LAR,WR,SF,5,2.3,,30.3,1.0
7564,Ja'Marr Chase,CIN,WR,CHI,9,16.7,,66.7,1.2
7567,Kenneth Gainwell,PIT,RB,IND,9,3.0,3.7,23.0,1.1
7569,Nico Collins,HOU,WR,DEN,9,8.7,1.0,45.7,1.0
7571,Rashod Bateman,BAL,WR,MIA,9,3.0,,44.3,1.1
7585,Davis Mills,HOU,QB,DEN,9,,2.5,32.0,0.9
7587,Dyami Brown,JAX,WR,LV,9,5.3,1.0,40.0,1.0
7588,Javonte Williams,DAL,RB,ARI,9,2.3,15.7,52.3,0.9
7591,Justin Fields,NYJ,QB,CIN,8,,7.3,52.3,1.0
7594,Chuba Hubbard,CAR,RB,GB,9,1.7,10.3,28.7,1.0
7595,Tylan Wallace,BAL,WR,CHI,8,1.7,,18.3,1.1
7596,Elijah Moore,BUF,WR,KC,9,2.7,1.0,20.0,0.9
7600,Pat Freiermuth,PIT,TE,IND,9,4.7,,31.0,1.4
7602,Kylen Granson,PHI,TE,KC,2,1.0,,25.5,1.0
